CaseNum,xTemp,yVol,direction,Target,Prediction,CorrectPred,TestAccuracy
1,0,0,0,10,0,FALSE,95.62%
2,0,0,1,11,11,TRUE,96.25%
3,0,0,2,1,1,TRUE,96.25%
4,0,0,3,11,11,TRUE,96.25%
5,0,0,4,10,10,TRUE,96.25%
6,0,0,5,11,11,TRUE,96.25%
7,0,0,6,1,1,TRUE,96.25%
9,0,1,0,0,1,FALSE,95.62%
49,0,6,0,50,51,FALSE,100.00%
10,0,1,1,1,1,TRUE,96.25%
11,0,1,2,11,11,TRUE,96.25%
12,0,1,3,21,21,TRUE,96.25%
13,0,1,4,20,20,TRUE,96.25%
65,0,8,0,70,60,FALSE,100.00%
15,0,1,6,11,11,TRUE,97.50%
16,0,1,7,1,1,TRUE,98.12%
17,0,2,0,10,10,TRUE,98.12%
18,0,2,1,11,11,TRUE,98.12%
19,0,2,2,21,21,TRUE,98.12%
20,0,2,3,31,31,TRUE,98.12%
21,0,2,4,30,30,TRUE,98.12%
722,9,0,1,18,9,FALSE,98.12%
23,0,2,6,21,21,TRUE,98.12%
24,0,2,7,11,11,TRUE,98.12%
25,0,3,0,20,20,TRUE,98.12%
26,0,3,1,21,21,TRUE,98.12%
27,0,3,2,31,31,TRUE,98.12%
28,0,3,3,41,41,TRUE,98.12%
29,0,3,4,40,40,TRUE,98.12%
30,0,3,5,41,41,TRUE,98.12%
771,9,6,2,68,69,FALSE,96.88%
32,0,3,7,21,21,TRUE,98.12%
33,0,4,0,30,30,TRUE,96.88%
34,0,4,1,31,31,TRUE,98.12%
35,0,4,2,41,41,TRUE,98.12%
36,0,4,3,51,51,TRUE,98.12%
37,0,4,4,50,50,TRUE,97.50%
38,0,4,5,51,51,TRUE,97.50%
39,0,4,6,41,41,TRUE,97.50%
316,3,9,3,84,94,FALSE,98.75%
41,0,5,0,40,40,TRUE,98.75%
42,0,5,1,41,41,TRUE,98.75%
43,0,5,2,51,51,TRUE,100.00%
44,0,5,3,61,61,TRUE,100.00%
45,0,5,4,60,60,TRUE,99.38%
46,0,5,5,61,61,TRUE,100.00%
47,0,5,6,51,51,TRUE,100.00%
796,9,9,3,88,99,FALSE,98.12%
525,6,5,4,66,67,FALSE,95.62%
50,0,6,1,51,51,TRUE,100.00%
51,0,6,2,61,61,TRUE,100.00%
52,0,6,3,71,71,TRUE,100.00%
53,0,6,4,70,70,TRUE,99.38%
54,0,6,5,71,71,TRUE,100.00%
55,0,6,6,61,61,TRUE,100.00%
56,0,6,7,51,51,TRUE,100.00%
57,0,7,0,60,60,TRUE,100.00%
58,0,7,1,61,61,TRUE,99.38%
59,0,7,2,71,71,TRUE,99.38%
60,0,7,3,81,81,TRUE,99.38%
61,0,7,4,80,80,TRUE,99.38%
62,0,7,5,81,81,TRUE,99.38%
63,0,7,6,71,71,TRUE,99.38%
64,0,7,7,61,61,TRUE,99.38%
77,0,9,4,80,81,FALSE,99.38%
66,0,8,1,71,71,TRUE,100.00%
67,0,8,2,81,81,TRUE,100.00%
68,0,8,3,91,91,TRUE,100.00%
69,0,8,4,90,90,TRUE,100.00%
70,0,8,5,91,91,TRUE,100.00%
71,0,8,6,81,81,TRUE,100.00%
72,0,8,7,71,71,TRUE,100.00%
73,0,9,0,80,80,TRUE,100.00%
74,0,9,1,81,81,TRUE,100.00%
75,0,9,2,91,91,TRUE,100.00%
76,0,9,3,81,81,TRUE,100.00%
797,9,9,4,89,88,FALSE,97.50%
14,0,1,5,21,20,FALSE,96.88%
79,0,9,6,91,91,TRUE,100.00%
80,0,9,7,81,81,TRUE,100.00%
81,1,0,0,11,11,TRUE,100.00%
82,1,0,1,12,12,TRUE,100.00%
83,1,0,2,2,2,TRUE,100.00%
84,1,0,3,12,12,TRUE,100.00%
85,1,0,4,11,11,TRUE,100.00%
86,1,0,5,10,10,TRUE,100.00%
87,1,0,6,0,0,TRUE,100.00%
88,1,0,7,10,10,TRUE,100.00%
89,1,1,0,1,1,TRUE,100.00%
90,1,1,1,2,2,TRUE,100.00%
91,1,1,2,12,12,TRUE,100.00%
92,1,1,3,22,22,TRUE,100.00%
93,1,1,4,21,21,TRUE,100.00%
94,1,1,5,20,20,TRUE,100.00%
95,1,1,6,10,10,TRUE,100.00%
96,1,1,7,0,0,TRUE,100.00%
97,1,2,0,11,11,TRUE,100.00%
98,1,2,1,12,12,TRUE,100.00%
99,1,2,2,22,22,TRUE,100.00%
100,1,2,3,32,32,TRUE,100.00%
101,1,2,4,31,31,TRUE,100.00%
102,1,2,5,30,30,TRUE,100.00%
103,1,2,6,20,20,TRUE,100.00%
